time;delayMs;Util;dropProb;Dq;reward
102.98;12.438325881958008;0.9833254814147949;0.019999999552965164;1266280000.0;1.0
103.0;4.340731143951416;0.9833281636238098;0.0;1266530000.0;1.0
103.02;0.0;0.9833235144615173;0.0;1266770000.0;1.0
103.04;0.0;0.9833121299743652;0.0;1267000000.0;1.0
103.06;0.0;0.9832863807678223;0.0;1267210000.0;1.0
103.08;7.638411998748779;0.9833223223686218;0.0;1267500000.0;1.0
103.1;25.641210556030273;0.9833245873451233;0.0;1267750000.0;1.0
103.12;43.64094543457031;0.9833272099494934;0.009999999776482582;1268000000.0;1.0
103.14;43.92258071899414;0.9833318591117859;0.10999999940395355;1268250000.0;1.0
103.16;44.09103775024414;0.9833341240882874;0.10000000149011612;1268500000.0;1.0
103.18;44.381011962890625;0.9833368062973022;1.4901161415892261e-09;1268750000.0;1.0
103.2;44.88290786743164;0.9833394885063171;0.0;1269000000.0;1.0
103.22;44.822906494140625;0.9833417534828186;0.009999999776482582;1269250000.0;1.0
103.24;38.579708099365234;0.9833444356918335;0.019999999552965164;1269500000.0;1.0
103.26;38.236507415771484;0.9833469390869141;0.009999999776482582;1269750000.0;1.0
103.28;38.7853889465332;0.9833494424819946;0.019999999552965164;1270000000.0;1.0
103.3;40.19330596923828;0.9833520650863647;0.029999999329447746;1270250000.0;1.0
103.32;41.50482940673828;0.9833543300628662;0.03999999910593033;1270490000.0;1.0
103.34;43.43787384033203;0.9833571910858154;0.03999999910593033;1270740000.0;1.0
103.36;43.266998291015625;0.9833598732948303;0.03999999910593033;1270990000.0;1.0
103.38;43.306114196777344;0.9833625555038452;0.05000000074505806;1271240000.0;1.0
103.4;43.172760009765625;0.9833652377128601;0.0;1271490000.0;1.0
103.42;42.5982780456543;0.9833674430847168;0.009999999776482582;1271740000.0;1.0
103.44;42.82147979736328;0.9833701252937317;0.009999999776482582;1271990000.0;1.0
103.46;43.70075988769531;0.9833728075027466;0.0;1272240000.0;1.0
103.48;43.59355926513672;0.983375072479248;0.0;1272490000.0;1.0
103.5;44.09996032714844;0.9833777546882629;0.0;1272740000.0;1.0
103.52;44.89427947998047;0.9833803772926331;0.0;1272990000.0;1.0
103.54;45.02237319946289;0.983383059501648;0.0;1273240000.0;1.0
103.56;45.94955825805664;0.9833853244781494;0.009999999776482582;1273480000.0;1.0
